project_id,project_name,client_id,bu_id,region_id,pm_id,billing_model,start_date,end_date,bill_rate_usd_per_hr,fixed_fee_total_usd,status
PR00079,Mesh Bricks-And-Clicks Partnerships,CL00212,BU00008,RG00004,PM00054,Fixed Fee,2023-05-13,2024-05-13,,288581.0,Active
PR00080,Incubate Vertical Architectures,CL00081,BU00005,RG00003,PM00020,Fixed Fee,2025-03-28,2025-12-31,,827909.0,Active
PR00081,Integrate Integrated Relationships,CL00024,BU00002,RG00001,PM00056,T&M,2024-12-31,2025-12-31,143.0,,Active
PR00082,Extend Vertical Convergence,CL00208,BU00003,RG00005,PM00008,Fixed Fee,2024-01-30,2025-01-30,,363845.0,Active
PR00083,Seize Web-Enabled Web Services,CL00085,BU00002,RG00004,PM00046,Retainer,2023-04-15,2023-10-15,114.0,,Completed
PR00084,Transform Open-Source Channels,CL00109,BU00001,RG00003,PM00077,T&M,2025-09-02,2025-10-02,167.0,,Active
PR00085,Seize Cross-Platform Experiences,CL00130,BU00004,RG00002,PM00062,T&M,2023-03-10,2023-06-10,99.0,,Active
PR00086,E-Enable Plug-And-Play Info-Mediaries,CL00217,BU00006,RG00001,PM00036,Fixed Fee,2023-09-29,2023-10-29,,413342.0,Completed
PR00087,Reinvent Global Partnerships,CL00217,BU00001,RG00005,PM00035,T&M,2025-09-08,2025-11-08,149.0,,Active
PR00088,Integrate Distributed Solutions,CL00196,BU00005,RG00003,PM00045,T&M,2024-12-11,2025-03-11,91.0,,Completed
PR00089,Generate 24/365 Paradigms,CL00145,BU00007,RG00001,PM00019,Fixed Fee,2023-03-10,2023-04-10,,526512.0,On Hold
PR00090,Re-Contextualize Extensible Mindshare,CL00024,BU00004,RG00004,PM00054,T&M,2024-05-05,2025-02-05,59.0,,Active
PR00091,Transition Collaborative Portals,CL00080,BU00006,RG00005,PM00077,T&M,2024-09-10,2025-09-10,98.0,,Active
PR00092,Engineer Dynamic Technologies,CL00041,BU00001,RG00006,PM00011,T&M,2023-02-26,2023-03-26,122.0,,Active
PR00093,Cultivate Scalable Experiences,CL00125,BU00008,RG00004,PM00035,T&M,2024-07-08,2025-01-08,101.0,,Active
PR00094,Empower 24/7 Relationships,CL00089,BU00007,RG00001,PM00037,Fixed Fee,2024-05-30,2024-08-30,,310747.0,Active
PR00095,Matrix Wireless Systems,CL00135,BU00005,RG00001,PM00029,T&M,2024-11-09,2025-08-09,119.0,,Active
PR00096,Facilitate Viral Models,CL00002,BU00004,RG00003,PM00028,Fixed Fee,2024-08-23,2025-05-23,,177364.0,Completed
PR00097,Disintermediate Real-Time Infrastructures,CL00075,BU00006,RG00001,PM00001,T&M,2025-02-11,2025-08-11,104.0,,Active
PR00098,Evolve User-Centric Metrics,CL00034,BU00007,RG00005,PM00030,T&M,2024-10-21,2024-12-21,50.0,,Completed
PR00099,Incubate Distributed Vortals,CL00207,BU00006,RG00001,PM00051,Retainer,2023-10-08,2023-12-08,60.0,,Active
PR00100,Evolve World-Class Web Services,CL00005,BU00008,RG00001,PM00041,Fixed Fee,2023-06-09,2024-03-09,,269611.0,Active
PR00101,Monetize Customized Metrics,CL00182,BU00007,RG00003,PM00015,T&M,2024-04-04,2024-10-04,111.0,,On Hold
PR00102,Leverage Visionary Convergence,CL00044,BU00008,RG00006,PM00047,T&M,2024-10-23,2025-10-23,85.0,,Completed
PR00103,Integrate Synergistic E-Business,CL00063,BU00007,RG00005,PM00052,T&M,2024-11-25,2024-12-25,104.0,,Active
PR00104,Empower Leading-Edge Partnerships,CL00080,BU00006,RG00002,PM00043,Fixed Fee,2024-11-06,2025-08-06,,349319.0,Active
PR00105,Strategize Bricks-And-Clicks Mindshare,CL00163,BU00002,RG00005,PM00066,T&M,2025-09-17,2025-12-31,94.0,,Completed
PR00106,Utilize B2B Metrics,CL00090,BU00003,RG00002,PM00014,T&M,2023-09-06,2024-06-06,106.0,,Active
PR00107,Integrate End-To-End Partnerships,CL00155,BU00003,RG00006,PM00010,T&M,2024-11-11,2025-12-31,97.0,,Completed
PR00108,Revolutionize Bricks-And-Clicks Relationships,CL00127,BU00008,RG00005,PM00075,T&M,2024-01-02,2024-04-02,95.0,,Completed
PR00109,Maximize Robust Metrics,CL00145,BU00006,RG00006,PM00041,T&M,2024-08-17,2024-10-17,133.0,,Active
PR00110,Innovate Customized Relationships,CL00114,BU00005,RG00003,PM00076,T&M,2023-08-27,2024-08-27,130.0,,Active
PR00111,Grow Intuitive Networks,CL00080,BU00008,RG00004,PM00005,T&M,2024-07-31,2024-10-31,123.0,,Completed
PR00112,Mesh Bricks-And-Clicks Interfaces,CL00020,BU00002,RG00005,PM00077,T&M,2023-08-02,2024-08-02,109.0,,Active
PR00113,Visualize Efficient Action-Items,CL00142,BU00001,RG00004,PM00074,Fixed Fee,2024-05-03,2024-11-03,,424290.0,Active
PR00114,Utilize Viral Models,CL00122,BU00003,RG00001,PM00058,T&M,2023-06-26,2024-12-26,104.0,,Completed
PR00115,Synergize 24/7 Portals,CL00088,BU00002,RG00005,PM00023,T&M,2025-03-15,2025-12-31,99.0,,Active
PR00116,Unleash Customized E-Tailers,CL00113,BU00003,RG00003,PM00048,Retainer,2024-02-09,2025-08-09,142.0,,Active
PR00117,Envisioneer Holistic Solutions,CL00199,BU00006,RG00006,PM00077,T&M,2025-08-08,2025-12-31,104.0,,Active
PR00118,Enable Intuitive Systems,CL00086,BU00002,RG00003,PM00013,Fixed Fee,2023-07-10,2023-08-10,,230478.0,Active
PR00119,Productize Visionary Infrastructures,CL00065,BU00003,RG00003,PM00011,Fixed Fee,2023-09-26,2025-03-26,,409784.0,Active
PR00120,Repurpose Cross-Media Partnerships,CL00090,BU00005,RG00006,PM00051,T&M,2024-05-11,2024-11-11,84.0,,Active
PR00121,Incubate Distributed Content,CL00022,BU00005,RG00005,PM00049,Fixed Fee,2025-05-04,2025-12-31,,350058.0,Active
PR00122,Unleash Virtual Relationships,CL00033,BU00002,RG00006,PM00055,T&M,2023-09-02,2024-09-02,109.0,,Active
PR00123,Enhance 24/7 Solutions,CL00080,BU00003,RG00002,PM00044,Retainer,2025-03-01,2025-04-01,57.0,,Active
PR00124,Incentivize Rich Web-Readiness,CL00058,BU00003,RG00002,PM00010,T&M,2023-08-04,2024-08-04,89.0,,Completed
PR00125,Engage Out-Of-The-Box Bandwidth,CL00130,BU00001,RG00006,PM00044,Retainer,2024-07-14,2024-09-14,125.0,,Active
PR00126,Enable E-Business Partnerships,CL00153,BU00007,RG00002,PM00021,T&M,2025-05-06,2025-07-06,116.0,,Active
PR00127,Strategize Compelling Deliverables,CL00160,BU00003,RG00006,PM00057,T&M,2024-04-25,2024-05-25,123.0,,Active
PR00128,Revolutionize Transparent Networks,CL00185,BU00004,RG00004,PM00079,T&M,2024-09-30,2024-11-30,73.0,,Active
PR00129,Enable Turn-Key Experiences,CL00115,BU00004,RG00005,PM00031,T&M,2023-04-25,2024-04-25,93.0,,Completed
PR00130,Grow Plug-And-Play Methodologies,CL00121,BU00004,RG00003,PM00074,Retainer,2023-04-26,2023-06-26,117.0,,Active
PR00131,Seize End-To-End Schemas,CL00073,BU00007,RG00005,PM00068,T&M,2025-03-14,2025-09-14,102.0,,Active
PR00132,Benchmark Viral Channels,CL00052,BU00003,RG00003,PM00007,Fixed Fee,2025-09-20,2025-12-31,,125915.0,Completed
PR00133,Deliver Leading-Edge Initiatives,CL00142,BU00002,RG00006,PM00067,Retainer,2024-11-03,2025-11-03,122.0,,Active
PR00134,Orchestrate Seamless Communities,CL00196,BU00003,RG00003,PM00058,Retainer,2025-03-15,2025-09-15,127.0,,Active
PR00135,Harness Magnetic Convergence,CL00112,BU00002,RG00002,PM00058,Retainer,2023-09-09,2023-12-09,111.0,,Completed
PR00136,Productize Front-End Infrastructures,CL00107,BU00001,RG00004,PM00065,T&M,2025-03-17,2025-12-31,112.0,,Active
PR00137,Aggregate Efficient Channels,CL00021,BU00006,RG00002,PM00004,T&M,2024-01-25,2025-07-25,166.0,,Active
PR00138,Monetize E-Business Mindshare,CL00183,BU00006,RG00002,PM00018,T&M,2025-08-28,2025-12-31,163.0,,Completed
PR00139,Leverage B2C Communities,CL00121,BU00003,RG00006,PM00061,T&M,2025-09-22,2025-12-31,107.0,,Active
PR00140,Drive Cross-Platform Networks,CL00021,BU00001,RG00003,PM00028,Retainer,2025-08-28,2025-12-31,89.0,,Active
PR00141,Transition Proactive Infrastructures,CL00187,BU00007,RG00001,PM00037,T&M,2023-03-05,2023-09-05,135.0,,Active
PR00142,Visualize Back-End Experiences,CL00062,BU00007,RG00006,PM00080,T&M,2023-03-12,2023-04-12,118.0,,Active
PR00143,Revolutionize Next-Generation E-Business,CL00232,BU00008,RG00005,PM00069,T&M,2023-11-24,2024-02-24,124.0,,Active
PR00144,Utilize Rich Functionalities,CL00062,BU00003,RG00003,PM00055,T&M,2025-09-19,2025-11-19,76.0,,Active
PR00145,Envisioneer Seamless Info-Mediaries,CL00147,BU00007,RG00002,PM00011,T&M,2025-04-27,2025-12-31,108.0,,Active
PR00146,Exploit Wireless Content,CL00245,BU00001,RG00004,PM00061,T&M,2024-01-16,2025-01-16,67.0,,Active
PR00147,Optimize Leading-Edge Communities,CL00096,BU00005,RG00006,PM00003,T&M,2024-12-05,2025-12-31,116.0,,Active
PR00148,Deploy Compelling Bandwidth,CL00062,BU00002,RG00005,PM00043,T&M,2024-11-13,2025-05-13,70.0,,Active
PR00149,Facilitate B2B Vortals,CL00087,BU00003,RG00006,PM00060,Retainer,2023-11-13,2023-12-13,116.0,,Active
PR00150,Drive Cross-Media Interfaces,CL00047,BU00003,RG00001,PM00059,T&M,2024-05-11,2025-11-11,110.0,,Active
PR00151,Engineer Out-Of-The-Box Mindshare,CL00203,BU00004,RG00001,PM00041,Retainer,2023-07-23,2024-07-23,102.0,,Active
PR00152,Transform Turn-Key Action-Items,CL00209,BU00008,RG00003,PM00005,Fixed Fee,2025-05-22,2025-07-22,,327165.0,Active
PR00153,Embrace Real-Time Systems,CL00092,BU00001,RG00006,PM00043,T&M,2024-12-25,2025-03-25,136.0,,Completed
PR00154,Orchestrate Mission-Critical Markets,CL00112,BU00007,RG00006,PM00057,Retainer,2024-01-21,2024-07-21,118.0,,Active
PR00155,Synergize Next-Generation Action-Items,CL00250,BU00003,RG00004,PM00064,T&M,2024-03-26,2024-09-26,112.0,,Completed
PR00156,Transition World-Class Networks,CL00069,BU00002,RG00006,PM00055,T&M,2023-09-06,2024-09-06,161.0,,Active
PR00157,Aggregate Granular Models,CL00211,BU00003,RG00005,PM00038,T&M,2024-04-30,2025-04-30,84.0,,Active
PR00158,Target Rich Content,CL00170,BU00005,RG00003,PM00058,Fixed Fee,2025-03-10,2025-04-10,,455294.0,Active
PR00159,Utilize E-Business Interfaces,CL00177,BU00008,RG00003,PM00058,T&M,2025-02-11,2025-12-31,99.0,,Completed
PR00160,Target Web-Enabled E-Tailers,CL00091,BU00007,RG00003,PM00008,T&M,2025-02-24,2025-03-24,136.0,,Active
PR00161,Seize Scalable Markets,CL00094,BU00003,RG00001,PM00019,Retainer,2025-06-25,2025-12-25,132.0,,Active
PR00162,Synthesize Collaborative Technologies,CL00113,BU00001,RG00002,PM00009,T&M,2024-03-13,2024-09-13,147.0,,Active
PR00163,Implement Sticky E-Commerce,CL00093,BU00007,RG00005,PM00005,Fixed Fee,2025-04-13,2025-10-13,,299605.0,Active
PR00164,Matrix Back-End Relationships,CL00243,BU00006,RG00003,PM00057,Fixed Fee,2023-07-28,2025-01-28,,241667.0,Active
PR00165,Disintermediate Revolutionary Interfaces,CL00136,BU00006,RG00004,PM00041,Fixed Fee,2024-09-18,2025-03-18,,310467.0,Active
PR00166,Maximize Dynamic Relationships,CL00030,BU00001,RG00006,PM00024,T&M,2023-03-21,2023-09-21,77.0,,Active
PR00167,Envisioneer Intuitive Architectures,CL00144,BU00002,RG00003,PM00034,Fixed Fee,2025-05-09,2025-06-09,,323150.0,Active
PR00168,Grow Efficient E-Business,CL00157,BU00005,RG00006,PM00063,T&M,2025-02-22,2025-08-22,108.0,,Active
PR00169,Embrace End-To-End Platforms,CL00019,BU00008,RG00002,PM00057,Retainer,2025-08-07,2025-12-31,98.0,,Completed
PR00170,Disintermediate Cross-Platform Schemas,CL00248,BU00006,RG00006,PM00045,Fixed Fee,2024-09-03,2024-10-03,,131069.0,Active
PR00171,Engineer B2B Solutions,CL00075,BU00005,RG00002,PM00023,Fixed Fee,2024-07-21,2024-09-21,,221270.0,Active
PR00172,Deliver Wireless Mindshare,CL00032,BU00004,RG00002,PM00031,Fixed Fee,2025-07-24,2025-12-31,,255289.0,Active
PR00173,Integrate Robust Channels,CL00142,BU00006,RG00004,PM00071,T&M,2023-03-04,2023-04-04,122.0,,Completed
PR00174,Exploit Collaborative Deliverables,CL00017,BU00005,RG00004,PM00062,T&M,2024-06-01,2024-08-01,107.0,,Completed
PR00175,Orchestrate Global Vortals,CL00211,BU00002,RG00002,PM00041,Fixed Fee,2024-12-10,2025-12-10,,336925.0,Active
PR00176,Harness Granular Interfaces,CL00175,BU00006,RG00002,PM00071,Fixed Fee,2025-08-10,2025-11-10,,95288.0,Active
PR00177,Extend Seamless Applications,CL00248,BU00003,RG00004,PM00065,Retainer,2025-08-15,2025-12-31,94.0,,Active
PR00178,Deliver Holistic Networks,CL00032,BU00003,RG00003,PM00022,T&M,2024-06-06,2025-06-06,124.0,,Completed
PR00179,Syndicate Vertical Relationships,CL00058,BU00006,RG00005,PM00037,Retainer,2024-04-10,2024-10-10,85.0,,Active
PR00180,Innovate One-To-One E-Markets,CL00163,BU00005,RG00002,PM00039,Fixed Fee,2024-05-29,2024-11-29,,280519.0,Active
PR00181,Monetize Proactive Metrics,CL00165,BU00003,RG00005,PM00075,T&M,2025-06-25,2025-09-25,105.0,,Active
PR00182,Morph Bleeding-Edge Markets,CL00185,BU00006,RG00005,PM00006,Retainer,2025-01-07,2025-07-07,93.0,,Active
PR00183,Syndicate Frictionless Deliverables,CL00012,BU00005,RG00006,PM00027,Fixed Fee,2025-06-25,2025-08-25,,386584.0,Active
PR00184,Drive Enterprise Eyeballs,CL00164,BU00001,RG00004,PM00070,T&M,2025-09-04,2025-12-31,109.0,,On Hold
PR00185,Integrate One-To-One Solutions,CL00124,BU00004,RG00006,PM00052,T&M,2024-01-12,2024-03-12,169.0,,Active
PR00186,Grow Turn-Key E-Markets,CL00016,BU00003,RG00004,PM00054,T&M,2023-01-30,2024-01-30,84.0,,Active
PR00187,Deploy Best-Of-Breed E-Markets,CL00156,BU00003,RG00003,PM00041,Fixed Fee,2023-08-24,2023-11-24,,53552.0,Completed
PR00188,Revolutionize Collaborative Markets,CL00250,BU00007,RG00002,PM00048,T&M,2025-02-18,2025-11-18,75.0,,Active
PR00189,Mesh Best-Of-Breed Schemas,CL00062,BU00008,RG00001,PM00035,T&M,2023-08-03,2023-10-03,98.0,,Active
PR00190,Repurpose Compelling Deliverables,CL00013,BU00005,RG00004,PM00079,T&M,2024-05-19,2024-07-19,95.0,,On Hold
PR00191,Harness Virtual Bandwidth,CL00231,BU00003,RG00003,PM00074,Fixed Fee,2024-08-08,2024-10-08,,352696.0,Active
PR00192,Facilitate Synergistic Methodologies,CL00041,BU00008,RG00005,PM00060,T&M,2025-04-08,2025-12-31,104.0,,Active
PR00193,Exploit Back-End E-Business,CL00006,BU00002,RG00004,PM00065,T&M,2025-09-26,2025-12-31,115.0,,Active
PR00194,Aggregate Interactive Niches,CL00150,BU00006,RG00001,PM00007,T&M,2025-01-22,2025-04-22,122.0,,Active
PR00195,Monetize Magnetic Content,CL00216,BU00008,RG00003,PM00069,T&M,2025-05-16,2025-12-31,161.0,,Active
PR00196,Unleash Best-Of-Breed Models,CL00035,BU00005,RG00006,PM00047,Fixed Fee,2024-03-24,2024-06-24,,335589.0,Active
PR00197,Syndicate Cross-Media Schemas,CL00103,BU00001,RG00005,PM00072,T&M,2024-05-07,2024-11-07,116.0,,Active
PR00198,Envisioneer 24/7 Networks,CL00019,BU00007,RG00005,PM00058,Fixed Fee,2024-02-29,2024-05-29,,114352.0,Active
PR00199,Synergize Impactful Convergence,CL00160,BU00002,RG00002,PM00013,T&M,2025-04-23,2025-07-23,81.0,,Completed
PR00200,Envisioneer Revolutionary Technologies,CL00087,BU00006,RG00002,PM00026,Fixed Fee,2023-08-16,2024-02-16,,257109.0,Active
PR00201,Seize Visionary Experiences,CL00011,BU00001,RG00001,PM00018,Fixed Fee,2023-05-03,2023-11-03,,364037.0,Completed
PR00202,Extend Compelling E-Tailers,CL00133,BU00008,RG00002,PM00078,Retainer,2024-02-03,2024-11-03,123.0,,Active
PR00203,Transition Real-Time Schemas,CL00239,BU00006,RG00002,PM00051,Retainer,2023-11-10,2024-05-10,65.0,,Active
PR00204,Enable Sticky E-Business,CL00077,BU00006,RG00005,PM00066,T&M,2024-02-26,2025-08-26,119.0,,Active
PR00205,Incentivize Interactive Markets,CL00077,BU00008,RG00001,PM00048,T&M,2025-06-30,2025-12-31,122.0,,Active
PR00206,Enhance Bleeding-Edge Markets,CL00107,BU00005,RG00006,PM00004,Fixed Fee,2025-04-04,2025-12-31,,188218.0,Active
