client_id,client_name,industry,client_tier,hq_region_id,created_date
CL00149,Patton Reed and Patterson,Logistics,Mid-Market,RG00001,2023-04-17
CL00150,Hunter LLC,Logistics,Mid-Market,RG00006,2020-03-31
CL00151,Short-Garcia,Insurance,Mid-Market,RG00004,2023-03-22
CL00152,Snow Stevens and Hernandez,Logistics,Mid-Market,RG00002,2021-08-21
CL00153,Boyd Santos and Gilbert,SaaS,Enterprise,RG00001,2024-09-19
CL00154,Marshall-Petersen,Education,SMB,RG00006,2022-06-03
CL00155,Christian-Rivas,Logistics,SMB,RG00002,2020-11-16
CL00156,Keith-Sanchez,Retail,Mid-Market,RG00004,2024-02-03
CL00157,Bishop Gray and Johnson,Manufacturing,Enterprise,RG00004,2022-11-26
CL00158,Freeman LLC,Education,Enterprise,RG00005,2022-05-03
CL00159,Ramirez-Carlson,Logistics,Enterprise,RG00006,2022-06-28
CL00160,Smith Vaughan and Miller,Logistics,Mid-Market,RG00002,2023-08-06
CL00161,Peters-Allen,Healthcare,Enterprise,RG00005,2024-03-10
CL00162,Joseph West and Smith,Logistics,Mid-Market,RG00003,2022-08-23
CL00163,Sullivan and Sons,Logistics,SMB,RG00003,2022-09-29
CL00164,Perkins Kennedy and Schmidt,Insurance,SMB,RG00003,2023-10-04
CL00165,Pierce Bell and Chavez,Retail,SMB,RG00002,2022-09-30
CL00166,Hall-Griffith,Education,Mid-Market,RG00006,2022-10-28
CL00167,Newton Ltd,Insurance,SMB,RG00004,2021-09-18
CL00168,Robinson Group,Manufacturing,Mid-Market,RG00004,2022-06-29
CL00169,Lawrence Wolf and Carlson,SaaS,SMB,RG00004,2020-12-29
CL00170,Phillips LLC,Education,Enterprise,RG00005,2021-08-31
CL00171,Smith-Ferguson,SaaS,Enterprise,RG00005,2022-06-22
CL00172,Mccann PLC,Education,Mid-Market,RG00003,2022-08-16
CL00173,Raymond Little and Mullins,Healthcare,Enterprise,RG00004,2021-01-04
CL00174,Andrews Group,Insurance,Mid-Market,RG00003,2024-03-18
CL00175,Peterson-Sheppard,Education,Mid-Market,RG00004,2022-04-15
CL00176,Wilson-Jones,Manufacturing,Mid-Market,RG00004,2024-04-27
CL00177,Ray Ltd,Banking,Enterprise,RG00002,2020-08-05
CL00178,Hernandez PLC,SaaS,Enterprise,RG00005,2022-09-21
CL00179,Mcknight Inc,SaaS,SMB,RG00004,2024-11-19
CL00180,Obrien-Gibbs,Banking,Enterprise,RG00002,2022-01-22
CL00181,James Kerr and Evans,SaaS,SMB,RG00003,2023-10-15
CL00182,Carroll-Brown,Insurance,Mid-Market,RG00003,2020-12-25
CL00183,Garrett LLC,Education,SMB,RG00004,2020-10-30
CL00184,Allen PLC,Healthcare,Enterprise,RG00004,2020-10-11
CL00185,Smith Group,SaaS,Mid-Market,RG00001,2024-02-19
CL00186,Johnson-Roberts,Manufacturing,SMB,RG00001,2022-07-18
CL00187,Heath Jones and Hall,SaaS,Enterprise,RG00002,2022-05-22
CL00188,Lawrence Lara and Gonzalez,Insurance,Enterprise,RG00005,2021-02-11
CL00189,Walker Hernandez and Baker,Banking,SMB,RG00004,2021-05-07
CL00190,Brown LLC,Retail,Mid-Market,RG00002,2024-12-24
CL00191,Gonzales-Harrison,Logistics,Mid-Market,RG00003,2022-09-22
CL00192,Powell Nelson and Fernandez,Banking,Mid-Market,RG00006,2023-11-12
CL00193,George Group,Retail,Enterprise,RG00002,2022-11-18
CL00194,Wright Davis and Hayden,Healthcare,SMB,RG00001,2025-01-12
CL00195,Sampson Key and Chambers,Healthcare,Mid-Market,RG00004,2022-06-07
CL00196,Williams Avila and Ruiz,Education,Enterprise,RG00002,2023-11-25
CL00197,White-Richards,Retail,Mid-Market,RG00006,2024-04-27
CL00198,Harrison Group,Insurance,SMB,RG00003,2022-12-22
CL00199,Santiago-Hodge,Retail,Enterprise,RG00005,2022-12-11
CL00200,Steele-Roberts,SaaS,SMB,RG00004,2023-07-19
CL00201,Johnson Miller and King,Manufacturing,SMB,RG00006,2021-02-15
CL00202,Hancock-Bryan,Manufacturing,SMB,RG00004,2020-02-24
CL00203,Booth Murray and Brown,Logistics,SMB,RG00003,2024-07-19
CL00204,Dean-Jimenez,Logistics,Mid-Market,RG00004,2023-11-25
CL00205,Harris PLC,Banking,Mid-Market,RG00006,2021-04-03
CL00206,Kim-Wolfe,Healthcare,Mid-Market,RG00005,2021-03-04
CL00207,Dudley PLC,Logistics,Mid-Market,RG00006,2022-03-05
CL00208,Moore Pierce and Tran,Healthcare,SMB,RG00002,2020-12-06
CL00209,Gay Inc,Retail,SMB,RG00004,2024-01-24
CL00210,Holland and Sons,Insurance,Enterprise,RG00005,2024-05-18
CL00211,Carter Thornton and Perry,Education,SMB,RG00004,2024-03-30
CL00212,Sanchez-Arnold,Manufacturing,SMB,RG00002,2023-05-27
CL00213,Weeks PLC,Manufacturing,Enterprise,RG00003,2021-04-20
CL00214,Hill Group,Healthcare,Enterprise,RG00006,2023-01-11
CL00215,Adams Smith and Barber,Healthcare,Mid-Market,RG00005,2025-02-17
CL00216,Duarte Burns and Hernandez,Insurance,SMB,RG00006,2024-09-20
CL00217,Reed-Arnold,Education,Mid-Market,RG00002,2024-10-05
CL00218,Gibson-Morris,Logistics,Mid-Market,RG00004,2021-09-29
CL00219,Allen Reyes and Chase,Logistics,Enterprise,RG00001,2023-08-20
CL00220,Flores Group,Healthcare,SMB,RG00006,2023-05-20
CL00221,Mcneil-Sparks,Insurance,SMB,RG00005,2021-06-07
CL00222,Hanna-Martinez,Manufacturing,Mid-Market,RG00005,2022-12-18
CL00223,Sawyer Group,Manufacturing,Mid-Market,RG00006,2020-12-26
CL00224,Lozano Smith and Thomas,Manufacturing,Mid-Market,RG00004,2021-06-14
CL00225,Harrison LLC,Healthcare,SMB,RG00002,2023-01-07
CL00226,Schwartz Santos and Christian,Retail,Mid-Market,RG00003,2024-09-04
CL00227,Finley-Sims,Retail,Mid-Market,RG00006,2024-04-16
CL00228,Johnson Jones and Welch,Banking,SMB,RG00006,2022-08-01
CL00229,Francis Group,Logistics,SMB,RG00005,2020-12-22
CL00230,Padilla Garcia and Jackson,Healthcare,Enterprise,RG00002,2022-09-08
CL00231,Williams Inc,Healthcare,SMB,RG00002,2022-08-20
CL00232,Brooks-Thomas,Healthcare,SMB,RG00005,2024-08-28
CL00233,Knight-Sparks,Banking,SMB,RG00001,2021-08-02
CL00234,Miller Group,Healthcare,Mid-Market,RG00002,2022-03-10
CL00235,Durham-Thomas,Logistics,SMB,RG00001,2024-01-23
CL00236,King Scott and Smith,Healthcare,Mid-Market,RG00004,2024-02-05
CL00237,Byrd-Moore,Manufacturing,SMB,RG00001,2023-11-24
CL00238,Huerta-Evans,Healthcare,Enterprise,RG00004,2023-10-01
CL00239,Wright Bruce and Gonzalez,Retail,Enterprise,RG00004,2023-05-31
CL00240,Rodriguez-James,Logistics,SMB,RG00006,2023-03-12
CL00241,Phillips Lyons and Johnson,SaaS,SMB,RG00005,2023-07-04
CL00242,Smith-Grimes,Healthcare,SMB,RG00002,2020-07-22
CL00243,Mcgee Wall and Leach,Retail,Mid-Market,RG00004,2022-02-04
CL00244,Pham Robinson and Lee,Insurance,Enterprise,RG00004,2022-04-09
CL00245,Campos Saunders and Becker,Logistics,Enterprise,RG00003,2021-04-20
CL00246,Davis Burton and Williams,Education,SMB,RG00005,2023-11-21
CL00247,Riley Ltd,SaaS,Mid-Market,RG00006,2021-04-04
CL00248,Browning LLC,Retail,Enterprise,RG00002,2023-09-03
CL00249,Gonzalez PLC,Insurance,SMB,RG00001,2023-04-02
CL00250,Shaw Nelson and Martin,Banking,SMB,RG00005,2024-03-28
